intervention_task_time,intervention_task_id,intervention_task_name,is_completed,participant_id,participant_started_at,invite_code,current_day_of_study,current_intervention_id,current_intervention_name
2025-04-14 07:25:01.636616Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Keep a journal!,true,ca773388-eb42-4716-995a-476ed72c0475,2025-04-11 22:00:00.000Z,,2,6ca77ac9-6518-4d16-8dd1-888194d66f68,Keeping a journal 
2025-04-14 06:32:15.430842Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Keep a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,15,6ca77ac9-6518-4d16-8dd1-888194d66f68,Keeping a journal 
2025-04-13 09:02:44.549286Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Keep a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,14,6ca77ac9-6518-4d16-8dd1-888194d66f68,Keeping a journal 
2025-04-13 07:28:42.306823Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Keep a journal!,true,ca773388-eb42-4716-995a-476ed72c0475,2025-04-11 22:00:00.000Z,,1,6ca77ac9-6518-4d16-8dd1-888194d66f68,Keeping a journal 
2025-04-12 05:07:10.340810Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Keep a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,13,6ca77ac9-6518-4d16-8dd1-888194d66f68,Keeping a journal 
2025-04-11 05:03:36.514297Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Keep a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,12,6ca77ac9-6518-4d16-8dd1-888194d66f68,Keeping a journal 
2025-04-10 16:01:40.763606Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid keeping a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,11,5176af81-899b-47b3-a28d-269b2df87e86,Not keeping a journal 
2025-04-09 05:11:28.134332Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid keeping a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,10,5176af81-899b-47b3-a28d-269b2df87e86,Not keeping a journal 
2025-04-08 07:44:42.032168Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid keeping a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,9,5176af81-899b-47b3-a28d-269b2df87e86,Not keeping a journal 
2025-04-07 09:14:44.139230Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid keeping a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,8,5176af81-899b-47b3-a28d-269b2df87e86,Not keeping a journal 
2025-04-06 16:07:12.983413Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid keeping a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,7,5176af81-899b-47b3-a28d-269b2df87e86,Not keeping a journal 
2025-04-05 05:11:46.598041Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid keeping a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,6,5176af81-899b-47b3-a28d-269b2df87e86,Not keeping a journal 
2025-04-04 05:09:45.275958Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid keeping a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,5,5176af81-899b-47b3-a28d-269b2df87e86,Not keeping a journal 
2025-04-03 05:14:33.258503Z,d5239fc5-d463-4e2c-8575-671570b78089,Avoid keeping a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,4,5176af81-899b-47b3-a28d-269b2df87e86,Not keeping a journal 
2025-04-02 05:09:32.293123Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Keep a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,3,6ca77ac9-6518-4d16-8dd1-888194d66f68,Keeping a journal 
2025-04-01 06:50:13.195463Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Keep a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,2,6ca77ac9-6518-4d16-8dd1-888194d66f68,Keeping a journal 
2025-03-31 13:12:40.572587Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Keep a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,1,6ca77ac9-6518-4d16-8dd1-888194d66f68,Keeping a journal 
2025-03-30 10:26:12.837540Z,2e61ce01-f5c7-42fc-9978-63a3bdd0dcd4,Keep a journal!,true,2b274a9c-65b2-4808-97bd-e8a709792414,2025-03-29 21:00:00.000Z,,0,6ca77ac9-6518-4d16-8dd1-888194d66f68,Keeping a journal 
